,State/UT,CR,CCS,CON,CDIS,CAQ,PAR,PCS,PCV,PDIS,PAQ
0,Andhra Pradesh,1886.0,235.0,3.0,0.0,53.0,452.0,344.0,5.0,0.0,68.0
1,Arunachal Pradesh,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,Assam,2231.0,349.0,13.0,0.0,53.0,1636.0,733.0,13.0,0.0,53.0
3,Bihar,1050.0,288.0,4.0,0.0,46.0,1014.0,519.0,17.0,0.0,46.0
4,Chhattisgarh,175.0,94.0,13.0,0.0,23.0,139.0,136.0,19.0,0.0,27.0
5,Goa,15.0,20.0,0.0,0.0,1.0,3.0,25.0,0.0,0.0,1.0
6,Gujarat,784.0,447.0,0.0,0.0,8.0,1083.0,1064.0,0.0,0.0,11.0
7,Haryana,564.0,188.0,6.0,0.0,40.0,314.0,288.0,10.0,0.0,63.0
8,Himachal Pradesh,76.0,20.0,2.0,0.0,4.0,44.0,24.0,2.0,0.0,4.0
9,Jharkhand,1095.0,344.0,19.0,0.0,16.0,402.0,568.0,19.0,0.0,16.0
10,Karnataka,12020.0,111.0,9.0,0.0,26.0,446.0,183.0,10.0,0.0,31.0
11,Kerala,307.0,176.0,2.0,0.0,33.0,220.0,214.0,2.0,0.0,46.0
12,Madhya Pradesh,602.0,405.0,18.0,4.0,13.0,659.0,531.0,24.0,5.0,18.0
13,Maharashtra,4967.0,980.0,7.0,2.0,45.0,1739.0,1470.0,9.0,2.0,60.0
14,Manipur,4.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
15,Meghalaya,89.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0
16,Mizoram,8.0,4.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
17,Nagaland,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Odisha,1485.0,220.0,0.0,0.0,0.0,316.0,351.0,0.0,0.0,0.0
19,Punjab,243.0,90.0,5.0,3.0,26.0,259.0,118.0,9.0,4.0,35.0
20,Rajasthan,1762.0,312.0,35.0,14.0,9.0,571.0,556.0,41.0,23.0,11.0
21,Sikkim,2.0,1.0,0.0,1.0,0.0,3.0,2.0,0.0,2.0,0.0
22,Tamil Nadu,385.0,113.0,8.0,1.0,9.0,400.0,161.0,10.0,1.0,12.0
23,Telangana,2691.0,847.0,10.0,0.0,128.0,748.0,1564.0,11.0,0.0,179.0
24,Tripura,20.0,4.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0
25,Uttar Pradesh,11416.0,3705.0,201.0,30.0,46.0,4324.0,5258.0,272.0,45.0,66.0
26,Uttarakhand,100.0,40.0,1.0,0.0,0.0,71.0,72.0,1.0,0.0,0.0
27,West Bengal,524.0,104.0,4.0,0.0,26.0,215.0,124.0,4.0,0.0,27.0
28,A&N Islands,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
29,Chandigarh,23.0,9.0,5.0,0.0,7.0,14.0,14.0,6.0,0.0,10.0
30,D&N Haveli and Daman & Diu+,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
31,Delhi,115.0,58.0,2.0,1.0,11.0,147.0,80.0,2.0,1.0,12.0
32,Jammu & Kashmir*,73.0,18.0,0.0,0.0,4.0,22.0,22.0,0.0,0.0,6.0
34,Lakshadweep,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Puducherry,4.0,3.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0
36,TOTAL (ALL INDIA),44735.0,9187.0,367.0,57.0,627.0,15268.0,14442.0,486.0,84.0,802.0
