,State/UT,CR,CCS,CON,CDIS,CAQ,PAR,PCS,PCV,PDIS,PAQ
0,Andhra Pradesh,7798.0,1364.0,31.0,19.0,293.0,2200.0,1986.0,41.0,24.0,405.0
1,Arunachal Pradesh,93.0,4.0,0.0,0.0,0.0,18.0,4.0,0.0,0.0,0.0
2,Assam,13749.0,1693.0,18.0,3.0,221.0,12440.0,3009.0,18.0,4.0,321.0
3,Bihar,4782.0,1843.0,8.0,0.0,66.0,3986.0,2361.0,22.0,0.0,67.0
4,Chhattisgarh,1134.0,602.0,28.0,4.0,52.0,854.0,805.0,34.0,4.0,72.0
5,Goa,133.0,50.0,1.0,1.0,5.0,64.0,71.0,1.0,2.0,5.0
6,Gujarat,4763.0,2161.0,0.0,1.0,31.0,4678.0,4448.0,0.0,1.0,34.0
7,Haryana,2764.0,1049.0,25.0,0.0,197.0,1779.0,1661.0,31.0,0.0,361.0
8,Himachal Pradesh,369.0,154.0,5.0,0.0,22.0,211.0,184.0,5.0,0.0,28.0
9,Jharkhand,4902.0,1507.0,206.0,4.0,109.0,3454.0,3091.0,236.0,9.0,114.0
10,Karnataka,39910.0,9023.0,22.0,0.0,195.0,2222.0,9427.0,25.0,0.0,275.0
11,Kerala,2019.0,971.0,20.0,25.0,128.0,1504.0,1153.0,25.0,43.0,145.0
12,Madhya Pradesh,3120.0,2261.0,108.0,30.0,177.0,3433.0,3287.0,192.0,41.0,233.0
13,Maharashtra,23140.0,5082.0,54.0,12.0,224.0,9783.0,7267.0,104.0,15.0,285.0
14,Manipur,253.0,2.0,0.0,0.0,0.0,89.0,2.0,0.0,0.0,0.0
15,Meghalaya,451.0,10.0,0.0,0.0,2.0,34.0,19.0,0.0,0.0,2.0
16,Mizoram,67.0,41.0,7.0,0.0,1.0,53.0,43.0,7.0,0.0,1.0
17,Nagaland,20.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0
18,Odisha,7120.0,1177.0,1.0,0.0,9.0,1502.0,1643.0,1.0,0.0,10.0
19,Punjab,1587.0,524.0,17.0,6.0,83.0,1454.0,756.0,23.0,7.0,132.0
20,Rajasthan,7028.0,1570.0,89.0,48.0,74.0,2765.0,2708.0,121.0,64.0,101.0
21,Sikkim,4.0,2.0,0.0,1.0,1.0,4.0,3.0,0.0,2.0,1.0
22,Tamil Nadu,2766.0,596.0,32.0,9.0,97.0,2062.0,880.0,38.0,10.0,135.0
23,Telangana,20432.0,3893.0,310.0,0.0,301.0,4902.0,5930.0,315.0,0.0,436.0
24,Tripura,105.0,20.0,0.0,0.0,1.0,22.0,21.0,0.0,0.0,1.0
25,Uttar Pradesh,42593.0,17124.0,1587.0,92.0,266.0,23865.0,23505.0,2065.0,118.0,363.0
26,Uttarakhand,1356.0,358.0,4.0,1.0,3.0,518.0,551.0,6.0,1.0,8.0
27,West Bengal,2652.0,908.0,25.0,1.0,49.0,1089.0,1070.0,25.0,1.0,51.0
28,A&N Islands,25.0,19.0,0.0,1.0,1.0,18.0,24.0,0.0,1.0,1.0
29,Chandigarh,117.0,44.0,10.0,1.0,24.0,70.0,57.0,12.0,1.0,27.0
30,D&N Haveli and Daman & Diu+,12.0,4.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0
31,Delhi,990.0,346.0,7.0,12.0,12.0,936.0,611.0,7.0,12.0,14.0
32,Jammu & Kashmir*,483.0,106.0,0.0,0.0,18.0,193.0,136.0,0.0,0.0,28.0
33,Ladakh,5,0,0,0,0,0,0,0,0,0
34,Lakshadweep,12.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0
35,Puducherry,33.0,11.0,0.0,0.0,1.0,16.0,16.0,0.0,0.0,3.0
36,TOTAL (ALL INDIA),196788.0,54521.0,2615.0,271.0,2664.0,86232.0,76737.0,3354.0,360.0,3659.0
