,Sl.No.,STATES/UTs,Number of Cyber Crime Police Stations
1,1,Andhra Pradesh,3
2,2,Arunachal Pradesh,0
3,3,Assam,0
4,4,Bihar,0
5,5,Chhattisgarh,1
6,6,Goa,1
7,7,Gujarat,14
8,8,Haryana,3
9,9,Himachal Pradesh,1
10,10,Jharkhand,7
11,11,Karnataka,11
12,12,Kerala,19
13,13,Madhya Pradesh,1
14,14,Maharashtra,43
15,15,Manipur,1
16,16,Meghalaya,1
17,17,Mizoram,1
18,18,Nagaland,1
19,19,Odisha,4
20,20,Punjab,2
21,21,Rajasthan,2
22,22,Sikkim,0
23,23,Tamil Nadu,46
24,24,Telangana,3
25,25,Tripura,0
26,26,Uttar Pradesh,2
27,27,Uttarakhand,1
28,28,West Bengal,31
29,29,A & N Islands,0
30,30,Chandigarh,0
31,31,D & N Haveli and Daman & Diu,0
32,32,Delhi,0
33,33,Jammu and Kashmir,2
34,34,Ladakh,0
35,35,Lakshadweep,0
36,36,Puducherry,1
37,,TOTAL,202
